# Time-averaged data for fix myat2
# TimeStep v_longforce
43800 -131.625
43900 -131.461
44000 -132.731
44100 -131.8
44200 -136.212
44300 -132.238
44400 -132.46
44500 -135.825
44600 -138.389
44700 -136.327
44800 -136.216
44900 -131.926
45000 -134.716
45100 -135.727
45200 -139.167
45300 -134.476
45400 -135.36
45500 -133.43
45600 -144.779
45700 -141.441
45800 -134.541
45900 -134.788
46000 -136.145
46100 -135.26
46200 -144.436
46300 -134.955
46400 -135.432
46500 -138.78
46600 -145.982
46700 -138.05
46800 -141.182
46900 -137.987
47000 -137.621
47100 -143.485
47200 -143.384
47300 -141.283
47400 -135.341
47500 -139.169
47600 -147.149
47700 -147.209
47800 -140.465
47900 -142.516
48000 -138.468
48100 -138.857
48200 -143.206
48300 -144.951
48400 -141.56
48500 -144.624
48600 -148.845
48700 -144.791
48800 -142.534
48900 -143.366
49000 -139.757
49100 -145.71
49200 -146.514
49300 -146.005
49400 -141.323
49500 -149.579
49600 -151.743
49700 -146.682
49800 -147.4
49900 -145.255
50000 -136.323
50100 -142.881
50200 -145.836
50300 -147.274
50400 -145.797
50500 -144.819
50600 -156.504
50700 -142.83
50800 -141.641
50900 -147.088
51000 -145.314
51100 -147.815
51200 -151.703
51300 -142.997
51400 -144.983
51500 -144.707
51600 -154.309
51700 -141.253
51800 -136.406
51900 -143.277
52000 -134.969
52100 -134.563
52200 -133.521
52300 -129.775
52400 -122.885
52500 -116.684
52600 -103.473
52700 -109.383
52800 -93.3407
52900 -96.3046
53000 -83.1004
53100 -77.3818
53200 -56.3134
53300 -41.7036
53400 -19.4481
53500 6.60183
53600 -10.5429
53700 -13.7845
53800 -22.4569
53900 -13.4339
54000 -4.5889
54100 -2.63003
54200 -9.44797
54300 6.0502
54400 -7.08315
54500 1.22582
54600 -7.20851
54700 2.58369
54800 -13.7773
54900 5.12784
55000 -19.324
55100 -0.324692
55200 5.46652
55300 20.118
55400 7.58542
55500 -1.9422
55600 -25.4388
55700 -16.8195
55800 -4.01752
55900 8.83323
56000 8.06244
56100 -10.4044
56200 -6.62371
56300 -2.55578
56400 -0.0278866
56500 1
56600 -4.22497
56700 -4.40606
56800 -0.620115
56900 -13.5499
57000 -5.09884
57100 -9.6845
57200 4.80699
57300 5.79585
57400 8.11519
57500 -14.4075
57600 -16.0819
57700 -14.1173
57800 -4.9325
57900 11.5844
58000 10.4414
58100 -14.9226
58200 -12.2777
58300 -5.31256
58400 -1.35022
58500 1.50489
58600 2.8025
58700 -8.64578
58800 -10.9596
58900 -9.5897
59000 -7.23758
59100 -4.75548
59200 -4.88435
59300 2.095
59400 1.38001
59500 -2.2688
59600 -14.3981
59700 -13.0894
59800 -9.89112
59900 0.436364
60000 4.90352
60100 -14.7729
60200 -11.53
60300 -2.66353
60400 1.81317
60500 -0.116443
60600 -9.054
60700 -13.5555
60800 -12.1232
60900 -8.88475
61000 -7.60897
61100 -8.8941
61200 2.69871
61300 0.449943
61400 -4.34023
61500 -17.3129
61600 -20.9889
61700 -6.66186
61800 -3.64586
61900 -2.86849
62000 -5.65794
62100 -17.283
62200 -12.9438
62300 -6.37824
62400 5.1274
62500 0.703463
62600 -14.4875
62700 -18.4116
62800 -19.1477
62900 -8.43189
63000 0.286797
63100 -10.1064
63200 -10.6341
63300 -9.41954
63400 -10.4933
63500 -4.89746
63600 -11.1096
63700 -12.2524
63800 -14.6784
63900 -11.9387
64000 -5.65411
64100 -17.3413
64200 -6.47249
64300 -0.806698
64400 -6.52572
64500 -11.0001
64600 -22.1236
64700 -13.7851
64800 -14.9118
64900 -7.54983
65000 -11.7139
65100 -17.0262
65200 -13.1784
65300 -5.13152
65400 -2.01999
65500 -7.83929
65600 -19.7605
65700 -20.513
65800 -13.7764
65900 -13.2148
66000 -2.23612
66100 -14.4277
66200 -23.7686
66300 -8.63259
66400 -7.74577
66500 -10.6166
66600 -14.1254
66700 -19.5196
66800 -17.2132
66900 -15.4876
67000 -6.37176
67100 -17.6087
67200 -14.6978
67300 -8.25961
67400 -7.74732
67500 -12.9966
67600 -19.278
67700 -24.2033
67800 -15.5502
67900 -13.7544
68000 -7.88642
68100 -20.4196
68200 -14.0382
68300 -13.6548
68400 -7.73104
68500 -13.0968
68600 -19.5969
68700 -21.432
68800 -13.6318
68900 -16.3245
69000 -10.7003
69100 -22.3997
69200 -19.3697
69300 -8.32271
69400 -10.3074
69500 -9.74756
69600 -20.4562
69700 -20.02
69800 -20.7793
69900 -17.4071
70000 -10.8137
70100 -20.6652
70200 -13.6235
70300 -15.4416
70400 -10.8633
70500 -17.9472
70600 -19.9202
70700 -19.8521
70800 -17.8074
70900 -17.0026
71000 -17.0192
71100 -22.1962
71200 -19.3616
71300 -9.7892
71400 -11.7362
71500 -14.8704
71600 -21.9465
71700 -25.9894
71800 -23.3642
71900 -17.0769
72000 -10.0876
72100 -17.0558
72200 -19.95
72300 -15.9882
72400 -16.4636
72500 -16.2081
72600 -16.1626
72700 -19.1828
72800 -21.3782
72900 -17.8972
73000 -16.2295
73100 -24.0327
73200 -15.2025
73300 -13.3491
73400 -15.7348
73500 -15.676
73600 -22.22
73700 -21.1736
73800 -23.0039
73900 -19.1901
74000 -16.3485
74100 -22.1788
74200 -18.5796
74300 -12.0077
74400 -14.3214
74500 -18.6724
74600 -25.2424
74700 -25.9618
74800 -24.5853
74900 -17.986
75000 -13.0556
75100 -19.842
75200 -20.6158
75300 -19.6408
75400 -14.6594
75500 -18.7823
75600 -22.5871
75700 -21.8341
75800 -25.2141
75900 -14.971
76000 -14.6959
76100 -28.4958
76200 -19.1353
76300 -18.1806
76400 -16.6263
76500 -11.716
76600 -22.9044
76700 -27.0214
76800 -22.7566
76900 -22.3128
77000 -17.8524
77100 -23.8972
77200 -14.554
77300 -17.8815
77400 -15.1424
77500 -22.6474
77600 -23.5621
77700 -22.1156
77800 -25.2687
77900 -21.6871
78000 -17.3209
78100 -24.764
78200 -21.0783
78300 -16.5145
78400 -18.0837
78500 -18.6316
78600 -23.2009
78700 -26.6754
78800 -25.4978
78900 -23.2005
79000 -20.9059
79100 -22.5639
79200 -21.125
79300 -12.5152
79400 -22.0457
79500 -21.8936
79600 -24.3951
79700 -26.1018
79800 -28.3542
79900 -19.5499
80000 -21.0162
80100 -24.4116
80200 -23.162
80300 -15.1635
80400 -22.8117
80500 -16.5074
80600 -25.6073
80700 -24.1578
80800 -29.9574
80900 -22.1643
81000 -26.0423
81100 -25.5676
81200 -21.2573
81300 -14.854
81400 -18.0893
81500 -22.402
81600 -27.6597
81700 -29.7996
81800 -29.5264
81900 -19.4504
82000 -21.543
82100 -25.688
82200 -21.8286
82300 -24.2146
82400 -22.1656
82500 -14.5758
82600 -28.4377
82700 -26.9315
82800 -28.4168
82900 -25.1715
83000 -20.7288
83100 -25.8442
83200 -25.0431
83300 -15.5735
83400 -22.2274
83500 -25.6537
83600 -25.9539
83700 -32.1876
83800 -23.3579
83900 -26.7609
84000 -18.4995
84100 -29.4788
84200 -25.5842
84300 -18.9947
84400 -21.1971
84500 -23.4669
84600 -24.5316
84700 -33.0107
84800 -26.4669
84900 -28.8471
85000 -21.7504
85100 -29.3865
85200 -23.7122
85300 -20.0715
85400 -23.4477
85500 -26.7172
85600 -33.3057
85700 -26.5179
85800 -28.1551
85900 -23.8627
86000 -24.5631
86100 -27.3058
86200 -32.3261
86300 -18.3518
86400 -23.9715
86500 -21.4452
86600 -34.9955
86700 -28.165
86800 -32.9876
86900 -24.6799
87000 -19.6894
87100 -34.5201
87200 -28.7451
87300 -19.6655
87400 -25.3953
87500 -24.4789
87600 -34.2669
87700 -33.7896
87800 -32.5382
87900 -23.7063
88000 -27.1488
88100 -29.4633
88200 -31.5385
88300 -24.9878
88400 -24.3491
88500 -26.9718
88600 -32.8938
88700 -35.7018
88800 -31.8587
88900 -27.8549
89000 -22.4408
89100 -29.0544
89200 -35.4201
89300 -31.25
89400 -23.8734
89500 -25.5605
89600 -30.9641
89700 -39.0239
89800 -33.8431
89900 -30.1044
90000 -27.1769
90100 -32.3122
90200 -31.6561
90300 -26.0848
90400 -30.3411
90500 -29.3772
90600 -32.6662
90700 -34.6133
90800 -34.7638
90900 -32.3859
91000 -27.3542
91100 -40.7259
91200 -28.99
91300 -25.566
91400 -33.5343
91500 -26.2163
91600 -40.0602
91700 -36.9798
91800 -36.0305
91900 -29.8613
92000 -31.6355
92100 -32.808
92200 -36.7411
92300 -28.5227
92400 -33.2193
92500 -27.2485
92600 -39.0098
92700 -38.831
92800 -40.0936
92900 -33.3417
93000 -26.7437
93100 -40.0887
93200 -35.5636
93300 -30.2921
93400 -28.7287
93500 -35.4825
93600 -39.0731
93700 -41.7527
93800 -33.1215
93900 -35.3744
94000 -28.7723
94100 -44.2546
94200 -35.4584
94300 -32.9752
94400 -29.5804
94500 -34.5615
94600 -41.7048
94700 -43.93
94800 -33.9556
94900 -39.0733
95000 -34.4861
95100 -42.5434
95200 -38.1158
95300 -32.8883
95400 -30.8409
95500 -42.5668
95600 -36.6903
95700 -44.3664
95800 -39.9758
95900 -41.6789
96000 -35.4627
96100 -44.0854
96200 -37.3794
96300 -31.3859
96400 -35.7306
96500 -42.1347
96600 -42.5351
96700 -49.8258
96800 -37.3991
96900 -36.9154
97000 -36.9242
97100 -47.4221
97200 -40.8574
97300 -39.7269
97400 -36.2996
97500 -38.9915
97600 -47.4831
97700 -44.9915
97800 -43.1753
97900 -37.8194
98000 -37.639
98100 -51.689
98200 -40.0455
98300 -36.1931
98400 -37.0931
98500 -43.799
98600 -44.7624
98700 -50.1524
98800 -46.0309
98900 -38.2739
99000 -39.345
99100 -44.8376
99200 -27.5252
99300 -26.3936
99400 -28.2379
99500 -38.7069
99600 -41.5008
99700 -34.1286
99800 -27.1382
99900 -23.1653
100000 -24.5401
100100 -40.1705
100200 -29.9403
100300 -27.7033
100400 -26.3586
100500 -18.0098
100600 -38.518
100700 -36.269
100800 -29.5479
100900 -31.7532
101000 -29.0339
101100 -28.055
101200 -29.9548
101300 -28.9211
101400 -22.7263
101500 -31.609
101600 -35.0666
101700 -33.3973
101800 -37.7778
101900 -28.2095
102000 -22.1209
102100 -40.1284
102200 -29.1624
102300 -29.775
102400 -26.3876
102500 -33.6825
102600 -32.9008
102700 -36.473
102800 -31.1071
102900 -31.3063
103000 -29.3359
103100 -37.5609
103200 -27.2308
103300 -35.9568
103400 -27.193
103500 -29.2941
103600 -37.8211
103700 -31.1319
103800 -33.5004
103900 -32.7496
104000 -34.7223
104100 -38.9305
104200 -33.7596
104300 -27.8573
104400 -23.2864
104500 -30.0621
104600 -44.3098
104700 -48.9868
104800 -31.4275
104900 -28.843
105000 -24.2376
