# Time-averaged data for fix myat1
# TimeStep v_L
44700 43.6623
44800 43.6623
44900 43.6623
45000 43.6623
45100 43.8623
45200 43.8623
45300 43.8623
45400 43.8623
45500 43.8623
45600 43.8623
45700 43.8623
45800 43.8623
45900 43.8623
46000 43.8623
46100 44.0623
46200 44.0623
46300 44.0623
46400 44.0623
46500 44.0623
46600 44.0623
46700 44.0623
46800 44.0623
46900 44.0623
47000 44.0623
47100 44.2623
47200 44.2623
47300 44.2623
47400 44.2623
47500 44.2623
47600 44.2623
47700 44.2623
47800 44.2623
47900 44.2623
48000 44.2623
48100 44.4623
48200 44.4623
48300 44.4623
48400 44.4623
48500 44.4623
48600 44.4623
48700 44.4623
48800 44.4623
48900 44.4623
49000 44.4623
49100 44.6623
49200 44.6623
49300 44.6623
49400 44.6623
49500 44.6623
49600 44.6623
49700 44.6623
49800 44.6623
49900 44.6623
50000 44.6623
50100 44.8623
50200 44.8623
50300 44.8623
50400 44.8623
50500 44.8623
50600 44.8623
50700 44.8623
50800 44.8623
50900 44.8623
51000 44.8623
51100 45.0623
51200 45.0623
51300 45.0623
51400 45.0623
51500 45.0623
51600 45.0623
51700 45.0623
51800 45.0623
51900 45.0623
52000 45.0623
52100 45.2623
52200 45.2623
52300 45.2623
52400 45.2623
52500 45.2623
52600 45.2623
52700 45.2623
52800 45.2623
52900 45.2623
53000 45.2623
53100 45.4623
53200 45.4623
53300 45.4623
53400 45.4623
53500 45.4623
53600 45.4623
53700 45.4623
53800 45.4623
53900 45.4623
54000 45.4623
54100 45.6623
54200 45.6623
54300 45.6623
54400 45.6623
54500 45.6623
54600 45.6623
54700 45.6623
54800 45.6623
54900 45.6623
55000 45.6623
55100 45.8623
55200 45.8623
55300 45.8623
55400 45.8623
55500 45.8623
55600 45.8623
55700 45.8623
55800 45.8623
55900 45.8623
56000 45.8623
56100 46.0623
56200 46.0623
56300 46.0623
56400 46.0623
56500 46.0623
56600 46.0623
56700 46.0623
56800 46.0623
56900 46.0623
57000 46.0623
57100 46.2623
57200 46.2623
57300 46.2623
57400 46.2623
57500 46.2623
57600 46.2623
57700 46.2623
57800 46.2623
57900 46.2623
58000 46.2623
